,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,PARKCODE
7392,2019,112,"1,309","3,503","4,010","4,861","5,173","6,017","4,628","4,539","4,811","2,380","2,491","43,834",PECO
7393,2018,"1,349","1,431","4,177","3,330","4,060","4,001","4,737","4,170","4,104","3,996","2,157","1,617","39,129",PECO
7394,2017,918,"1,624","3,756","3,287","3,894","4,435","4,984","4,128","4,148","4,192","2,496","2,788","40,650",PECO
7395,2016,"1,012","1,506","3,272","3,451","3,962","4,380","4,591","4,720","4,081","4,347","2,367","2,026","39,715",PECO
7396,2015,953,"1,235","2,137","2,584","2,971","3,429","3,817","3,256","3,221","3,533","2,105",988,"30,229",PECO
7397,2014,"1,414","1,298","3,692","3,381","3,983","4,125","4,542","4,640","4,175","3,726","1,902","1,378","38,256",PECO
7398,2013,897,"1,115","3,522","3,111","4,048","3,386","4,567","3,868","3,148","1,436","1,671","1,617","32,386",PECO
7399,2012,"1,155","1,324","4,659","3,695","4,280","5,082","5,354","6,011","4,593","4,939","2,642","1,834","45,568",PECO
7400,2011,"1,056","1,009","3,919","3,142","4,215","4,799","6,136","6,327","5,093","4,903","2,102","1,172","43,873",PECO
7401,2010,765,686,"2,052","2,875","4,218","4,335","4,851","4,460","3,205","3,205","1,944","1,268","33,864",PECO
7402,2009,849,"1,113","2,256","2,684","3,981","5,183","4,601","3,979","3,465","3,710","1,784",917,"34,522",PECO
7403,2008,751,"1,109","2,940","2,611","3,886","3,921","4,189","4,135","3,305","3,529","1,400",925,"32,701",PECO
7404,2007,492,914,"2,318","2,481","3,863","4,202","4,488","4,920","3,532","4,133","1,900","1,064","34,307",PECO
7405,2006,"1,115","1,509","2,798","2,831","3,562","3,391","4,753","4,296","3,577","3,473","1,898",903,"34,106",PECO
7406,2005,"1,025","1,010","2,319","2,752","3,848","3,918","5,329","4,651","3,556","3,537","1,940","1,897","35,782",PECO
7407,2004,975,"1,198","3,352","3,194","3,083","4,151","4,349","3,947","3,358","3,448","1,274","1,500","33,829",PECO
7408,2003,"1,671","1,582","2,163","2,497","4,113","4,470","4,880","5,055","4,067","3,393","2,658","1,777","38,326",PECO
7409,2002,"1,552","1,440","2,993","3,155","4,301","3,985","4,876","4,805","3,182","3,170","1,787","1,688","36,934",PECO
7410,2001,"1,446","1,291","2,579","3,147","4,037","3,881","4,075","4,654","1,242","2,944","2,030","1,392","32,718",PECO
7411,2000,"1,339","1,469","2,785","3,176","3,911","4,212","5,378","4,749","3,481","3,233","1,922","1,472","37,127",PECO
7412,1999,978,"1,291","2,674","2,716","4,844","4,461","5,787","4,742","3,748","3,240","2,013","1,392","37,886",PECO
7413,1998,896,"1,009","1,977","2,502","1,475","3,982","4,330","4,616","3,444","3,021","1,553","1,367","30,172",PECO
7414,1997,774,"1,327","3,345","2,054","3,606","4,413","4,648","4,179","3,030","3,950","1,643",893,"33,862",PECO
7415,1996,820,"1,488","2,776","3,249","4,029","4,758","6,372","5,439","4,130","3,916","1,805","1,618","40,400",PECO
7416,1995,945,"1,529","2,728","3,404","4,182","5,517","7,391","5,923","3,544","3,818","1,597",512,"41,090",PECO
7417,1994,"1,354","1,306","2,599","2,956","4,826","4,681","5,685","4,685","3,890","3,927","1,910","1,698","39,517",PECO
7418,1993,"1,275","1,437","2,770","3,377","4,508","6,590","5,770","5,625","5,107","3,824","1,581","1,546","43,410",PECO
7419,1992,"1,237","1,743","3,225","3,638","5,679","5,509","6,880","6,843","5,351","4,597","1,653","1,454","47,809",PECO
7420,1991,990,"1,659","2,760","2,298","4,938","5,677","7,445","8,485","4,431","4,858","1,890","1,680","47,111",PECO
7421,1990,"1,140","1,217","2,690","2,912","4,175","5,559","7,598","6,848","5,189","4,693","2,241","1,054","45,316",PECO
7422,1989,990,"1,141","2,595","2,390","4,350","6,000","6,806","6,950","4,936","4,700","2,220","1,554","44,632",PECO
7423,1988,992,"1,797","2,870","2,900","4,648","6,471","8,266","8,096","4,895","4,504","1,770","1,386","48,595",PECO
7424,1987,985,"1,287","2,631","2,865","4,315","6,499","6,987","7,483","4,750","4,543","1,713","1,262","45,320",PECO
7425,1986,"1,575","1,195","2,506","2,334","4,612","6,336","7,420","7,934","4,023","4,245","1,531","1,097","44,808",PECO
7426,1985,801,"1,073","1,893","3,075","5,028","6,785","7,589","7,557","4,108","3,691","1,580","1,436","44,616",PECO
7427,1984,870,940,"1,474","2,046","3,643","6,399","6,829","5,928","4,230","2,588","1,485","1,082","37,514",PECO
7428,1983,833,903,"1,766","2,236","3,857","6,521","7,698","6,082","4,637","3,228","1,069",541,"39,371",PECO
7429,1982,662,677,"1,486","2,097","4,587","6,542","7,131","6,825","4,174","3,119","1,048",578,"38,926",PECO
7430,1981,"1,019","1,299","1,446","2,889","4,867","8,263","8,202","7,226","3,833","2,729","1,652","1,114","44,539",PECO
7431,1980,861,729,"1,585","2,019","3,121","6,704","6,843","7,259","2,921","2,294","1,048","1,293","36,677",PECO
7432,1979,936,"1,410","3,594","3,842","4,466","7,808","10,426","8,116","5,305","3,105","1,302","1,166","51,476",PECO
7433,2023,"22,808","22,815","33,491","33,026","27,647","24,014","18,340","17,939","21,308","44,327","24,184","24,629","314,528",PETR
7434,2022,"30,362","26,439","37,789","34,341","29,876","23,976","23,269","19,152","23,320","42,226","25,232","23,412","339,394",PETR
7435,2021,"29,226","28,060","34,373","34,024","29,402","26,146","26,087","23,973","24,531","43,394","35,103","29,892","364,211",PETR
7436,2020,"24,385","26,673","45,987","39,251","35,555","26,506","22,309","23,300","26,745","33,859","28,538","23,384","356,492",PETR
7437,2019,"14,959","18,281","32,242","32,752","27,970","26,325","21,602","19,467","20,587","36,133","22,300","21,339","293,957",PETR
7438,2018,"17,599","18,899","28,468","29,961","21,326","21,155","21,445","19,511","19,372","32,896","23,234","14,747","268,613",PETR
7439,2017,"6,303","8,263","10,867","11,409","12,515","10,290","12,189","9,379","8,853","18,485","16,378","16,872","141,803",PETR
7440,2016,"7,230","8,916","13,470","10,678","11,848","10,373","10,444","8,327","9,358","16,497","8,968","8,068","124,177",PETR
7441,2015,"5,024","7,557","12,060","10,468","11,586","9,867","11,820","10,096","9,237","16,574","6,394","7,142","117,825",PETR
7442,2014,"6,365","5,854","10,678","10,557","10,036","10,380","13,612","10,440","7,900","15,728","7,399","6,910","115,859",PETR
7443,2013,"6,224","6,357","12,832","10,685","12,037","8,328","12,376","13,943","9,745","8,028","7,885","6,635","115,075",PETR
7444,2012,"7,705","5,910","11,187","11,995","12,208","9,602","11,546","8,673","8,835","16,910","7,963","6,910","119,444",PETR
7445,2011,"4,532","4,585","12,415","10,968","11,413","8,825","12,434","8,926","8,595","15,991","7,703","8,041","114,428",PETR
7446,2010,"6,789","3,985","8,654","10,961","11,118","9,665","11,179","8,011","6,974","15,823","6,582","5,902","105,643",PETR
7447,2009,"7,785","6,048","11,442","11,111","9,655","12,067","12,213","8,686","7,591","16,877","8,365","6,848","118,688",PETR
7448,2008,"5,889","6,986","12,906","8,810","11,598","12,536","11,408","8,153","8,168","15,794","9,339","5,033","116,620",PETR
7449,2007,"3,904","5,164","9,525","9,983","10,554","16,531","10,330","9,580","9,530","13,819","8,225","5,723","112,868",PETR
7450,2006,"6,626","6,572","11,372","12,372","11,347","11,558","12,293","9,915","11,431","14,865","8,518","4,956","121,825",PETR
7451,2005,"4,941","4,657","8,522","7,513","9,838","12,896","11,370","8,952","8,019","12,753","6,908","6,254","102,623",PETR
7452,2004,"5,015","6,515","9,020","8,756","10,735","9,298","8,631","8,764","8,005","13,050","5,184","4,525","97,498",PETR
7453,2003,"3,144","3,648","5,466","5,363","6,124","5,626","5,678","5,217","4,867","7,887","3,423","1,658","58,101",PETR
7454,2002,"2,601","2,413","6,256","5,646","6,990","6,181","6,406","4,759","4,429","6,865","3,838","2,838","59,222",PETR
7455,2001,"2,498","3,591","5,477","5,624","5,876","5,555","6,759","5,763","4,626","7,331","4,420","3,088","60,608",PETR
7456,2000,"3,448","3,929","5,815","6,281","6,424","5,723","6,589","5,068","4,596","7,078","3,594","2,625","61,170",PETR
7457,1999,"3,278","4,056","7,125","7,065","7,252","6,638","6,818","7,678","5,551","8,952","4,906","3,285","72,604",PETR
7458,1998,"3,943","4,272","7,043","7,428","8,733","8,097","8,001","6,856","6,332","8,993","3,938","3,901","77,537",PETR
7459,1997,"3,690","4,790","8,948","8,805","9,491","8,756","8,685","9,550","6,976","11,065","5,798","5,655","92,209",PETR
7460,1996,"4,518","5,864","9,572","9,038","7,942","7,620","7,934","8,010","7,420","11,468","5,710","5,437","90,533",PETR
7461,1995,"9,523","10,265","6,915","8,082","7,969","7,218","7,346","6,418","6,257","8,761","5,706","3,736","88,196",PETR
7462,1994,"4,401","4,940","7,029","8,174","8,004","7,403","8,648","7,832","7,755","9,981","6,107","5,595","85,869",PETR
7463,1993,"3,715","3,504","6,764","9,179","9,329","5,362","5,410","5,395","5,254","6,452","3,453","3,053","66,870",PETR
7464,1992,"2,707","3,858","5,551","6,767","7,307","6,364","7,060","7,243","6,299","7,927","4,334","2,648","68,065",PETR
7465,2023,"2,430","3,014","2,513","2,951","3,262","3,286","4,434","3,149","3,529","4,746","2,975","3,267","39,556",SAPU
7466,2022,"2,187","1,967","2,827","3,465","3,741","3,405","3,759","2,956","3,453","4,107","2,952","2,371","37,190",SAPU
7467,2021,"2,932","1,890","2,780","3,012","3,747","3,129","3,835","2,803","3,164","4,206","2,994","3,588","38,080",SAPU
7468,2020,"2,016","2,199","1,829",0,"1,505","2,930","3,021","2,697","3,247","3,718","1,554","2,266","26,982",SAPU
7469,2019,419,"2,032","2,569","2,850","3,707","3,428","3,050","2,907","2,599","4,092","2,144","1,875","31,672",SAPU
7470,2018,"1,615","1,987","2,591","3,000","4,445","3,736","3,712","3,151","3,222","4,006","2,296",868,"34,629",SAPU
7471,2017,"1,543","2,597","3,572","3,423","3,788","3,178","3,542","2,747","3,316","3,783","2,060","1,599","35,148",SAPU
7472,2016,"1,394","2,522","2,600","2,464","2,903","3,142","3,140","2,979","3,264","4,135","2,205","1,666","32,414",SAPU
7473,2015,"1,250","1,652","2,697","3,010","3,071","2,571","3,556","2,877","2,642","3,674","1,714",958,"29,672",SAPU
7474,2014,"1,642","1,797","2,361","2,772","2,928","2,523","3,440","2,940","2,773","3,868","2,117","1,376","30,537",SAPU
7475,2013,"1,082","1,519","2,259","2,392","2,557","2,687","3,169","2,153","2,529","1,442","1,658","1,389","24,836",SAPU
7476,2012,"1,915","1,596","2,601","2,934","2,852","3,009","2,763","2,224","3,127","3,431","1,537","1,239","29,228",SAPU
7477,2011,"1,523","1,333","2,423","2,479","3,247","2,519","3,553","2,410","3,595","4,030","1,908",766,"29,786",SAPU
7478,2010,"1,363","1,313","2,380","3,159","3,852","3,307","3,278","3,152","4,016","3,888","1,872","1,361","32,941",SAPU
7479,2009,"1,908","2,204","2,992","2,980","4,462","3,975","4,211","3,466","3,614","4,241","2,320","1,475","37,848",SAPU
7480,2008,"1,502","1,856","3,118","2,553","3,009","2,674","2,949","3,304","2,994","3,571","2,386","1,332","31,248",SAPU
7481,2007,878,"1,605","2,861","2,847","3,722","3,705","3,445","3,007","3,767","3,829","2,005","1,389","33,060",SAPU
7482,2006,"1,992","1,825","2,577","3,039","3,322","2,893","3,266","2,765","3,993","3,947","2,296","1,081","32,996",SAPU
7483,2005,"1,438","1,484","2,361","3,456","3,456","3,531","4,021","3,208","3,322","4,038","2,696","1,799","34,810",SAPU
7484,2004,"1,746","1,605","3,093","3,369","3,430","2,952","4,408","3,226","3,393","3,727","1,562","1,705","34,216",SAPU
7485,2003,"1,887","1,522","2,603","2,797","3,309","3,290","4,090","3,394","2,955","3,857","2,426","1,697","33,827",SAPU
7486,2002,"1,596","1,804","2,970","3,510","3,998","3,494","4,060","3,614","3,148","3,909","2,214","1,353","35,670",SAPU
7487,2001,"1,112","1,684","2,757","3,525","3,452","3,410","4,282","3,431","3,798","3,619","1,966","1,532","34,568",SAPU
7488,2000,"2,120","2,079","2,651","3,427","3,824","3,450","4,529","3,081","3,046","3,804","1,766","1,065","34,842",SAPU
7489,1999,"2,020","2,334","2,790","3,299","4,134","4,046","4,379","4,052","3,892","4,466","2,961","1,589","39,962",SAPU
7490,1998,"1,654","1,890","2,962","3,836","4,400","3,793","4,124","3,774","3,905","4,629","2,510","1,987","39,464",SAPU
7491,1997,"1,421","2,340","3,914","3,631","4,645","4,996","4,678","4,941","3,410","4,503","2,357",874,"41,710",SAPU
7492,1996,"2,069","2,802","3,832","3,860","4,535","4,082","5,304","4,384","4,821","4,458","2,586","2,180","44,913",SAPU
7493,1995,"1,857","2,973","5,524","9,202","6,094","4,636","5,969","4,457","4,553","5,374","2,497",814,"53,950",SAPU
7494,1994,"2,073","2,623","3,672","4,660","5,049","4,465","6,255","5,421","5,403","6,450","2,735","2,585","51,391",SAPU
7495,1993,"1,634","2,568","3,484","4,932","5,515","5,387","5,451","5,093","5,275","5,813","2,724","2,407","50,283",SAPU
7496,1992,"1,372","2,195","3,303","4,944","3,847","4,929","6,223","5,778","4,872","5,748","2,188","1,308","46,707",SAPU
7497,1991,"1,185","2,093","2,990","3,185","5,160","3,867","4,772","5,876","4,291","4,789","1,613","1,350","41,171",SAPU
7498,1990,"1,540","1,787","3,158","3,226","3,791","3,290","4,123","3,932","4,354","3,688","2,280","1,144","36,313",SAPU
7499,1989,"1,401","1,989","3,782","3,481","3,834","3,863","4,192","4,233","3,545","3,955","2,914","1,534","38,723",SAPU
7500,1988,736,"1,233","2,672","2,003","3,542","3,427","4,075","3,731","3,253","5,413","2,417","1,612","34,114",SAPU
7501,1987,804,"1,083","2,130","3,459","4,554","3,601","4,236","4,292","3,915","4,223","2,170",626,"35,093",SAPU
7502,1986,"1,890","1,231","2,687","2,465","2,973","3,032","3,744","3,744","3,316","2,779","1,717","1,041","30,619",SAPU
7503,1985,"1,147","1,177","2,139","2,309","3,429","3,678","3,785","3,403","2,766","2,943","1,476","1,391","29,643",SAPU
7504,1984,"1,097","1,709","2,180","2,370","3,195","2,830","3,857","3,288","3,208","2,383","1,579",699,"28,395",SAPU
7505,1983,938,"1,063","3,150","2,798","3,870","3,689","6,034","4,314","3,434","3,605","2,121",952,"35,968",SAPU
7506,1982,"1,595","1,293","2,161","3,319","5,018","3,310","4,114","3,181","3,047","3,283","1,645",525,"32,491",SAPU
7507,1981,"1,091",695,815,"1,038","2,179","1,820","2,641","2,365","1,568","3,120","1,940","1,087","20,359",SAPU
7508,1980,657,677,"1,355","1,671","2,183","2,468","2,783","5,504",983,"1,333","1,194",940,"21,748",SAPU
7509,1979,947,"1,735","3,337","2,570","1,955","2,257","2,419","2,398","5,710","1,375","1,020","1,005","26,728",SAPU
7510,2023,"2,766","2,549","3,354","4,746","7,814","9,612","9,302","7,709","9,028","11,751","4,490",-36,"73,085",VALL
7511,2022,"2,910","3,125","3,535","5,002","3,561","5,614","8,040","8,464","10,330","8,203","2,495","2,459","63,738",VALL
7512,2021,"3,102","1,998","3,565","4,447","8,235","9,105","6,855","9,555","10,638","10,271","5,506","3,301","76,578",VALL
7513,2020,"2,032","1,318",556,80,371,360,"4,020","6,540","6,120","5,839","1,249","1,949","30,434",VALL
7514,2023,"42,942","43,512","101,402","80,337","71,622","64,245","60,270","43,155","52,738","63,869","50,685","54,319","729,096",WHSA
7515,2022,"45,083","44,186","99,649","75,417","64,329","56,802","62,853","46,338","50,331","57,639","49,712","52,788","705,127",WHSA
7516,2021,"45,053","35,766","98,118","78,723","85,197","72,891","86,436","51,453","47,151","63,669","56,410","61,602","782,469",WHSA
7517,2020,"40,264","41,823","48,402",0,0,"1,449","43,251","45,384","48,269","57,660","42,232","46,649","415,383",WHSA
7518,2019,"4,693","35,531","83,712","62,811","64,344","62,127","66,363","48,510","43,009","50,053","38,575","49,057","608,785",WHSA
7519,2018,"33,285","35,280","89,760","57,945","63,027","58,971","67,872","47,562","45,752","45,409","41,094","17,051","603,008",WHSA
7520,2017,"28,725","34,370","80,791","60,885","62,169","56,140","67,281","48,936","41,285","44,473","42,231","45,182","612,468",WHSA
7521,2016,"23,939","30,804","71,857","48,717","57,795","51,861","63,078","45,378","45,679","43,872","36,041","36,772","555,793",WHSA
7522,2015,"20,350","26,202","59,694","48,749","56,427","49,110","63,741","44,976","38,940","35,823","28,596","24,898","497,506",WHSA
7523,2014,"27,967","30,374","59,736","49,506","54,290","48,008","61,109","51,441","35,912","32,292","25,771","27,254","503,660",WHSA
7524,2013,"24,050","29,219","67,526","47,111","46,824","44,968","57,642","46,727","43,593","16,695","29,421","36,768","490,544",WHSA
7525,2012,"23,304","26,876","50,319","42,220","42,016","40,627","51,099","39,290","41,007","33,774","28,169","28,684","447,385",WHSA
7526,2011,"24,257","21,165","54,723","38,623","39,033","38,192","49,203","37,034","37,982","36,776","28,761","23,175","428,924",WHSA
7527,2010,"23,678","24,772","53,418","45,379","47,910","43,746","53,842","40,921","41,077","38,094","28,330","29,754","470,921",WHSA
7528,2009,"27,630","25,353","55,379","45,170","48,085","47,424","51,793","44,616","38,540","33,453","28,816","24,908","471,167",WHSA
7529,2008,"20,652","23,970","58,343","42,043","43,971","39,064","49,156","39,506","32,780","29,712","27,251","32,063","438,511",WHSA
7530,2007,"16,657","20,310","49,431","42,698","45,072","46,638","55,098","38,696","35,226","33,555","25,260","28,401","437,042",WHSA
7531,2006,"23,988","23,989","50,297","51,423","44,647","42,560","53,463","34,453","27,115","35,009","27,445","26,538","440,927",WHSA
7532,2005,"22,601","20,792","55,758","42,381","47,003","46,867","56,873","40,549","30,103","29,665","27,804","30,051","450,447",WHSA
7533,2004,"25,006","24,133","52,718","38,574","44,254","44,139","64,542","40,010","33,854","31,717","23,219","26,019","448,185",WHSA
7534,2003,"27,021","21,978","48,941","49,422","47,719","51,077","69,691","49,207","35,721","33,749","27,600","29,882","492,008",WHSA
7535,2002,"24,856","24,507","77,443","42,955","48,570","52,225","67,415","46,528","32,707","29,297","24,168","28,293","498,964",WHSA
7536,2001,"20,228","26,193","54,842","53,307","62,074","54,330","64,493","51,982","39,235","32,799","29,133","30,342","518,958",WHSA
7537,2000,"30,754","32,827","54,288","54,853","52,487","54,158","63,725","43,898","41,392","34,774","25,179","26,894","515,229",WHSA
7538,1999,"29,699","36,005","54,407","47,430","56,544","55,183","66,363","66,441","48,084","38,839","29,950","25,003","553,948",WHSA
7539,1998,"30,176","33,943","61,368","61,700","54,941","54,394","67,150","61,694","57,454","39,547","37,359","33,231","592,957",WHSA
7540,1997,"32,179","36,478","79,891","55,910","68,570","63,205","71,940","62,081","50,713","45,244","35,529","27,767","629,507",WHSA
7541,1996,"23,888","37,057","61,029","56,522","60,939","60,750","71,618","62,343","61,078","46,723","34,452","40,300","616,699",WHSA
7542,1995,"26,051","35,217","66,272","66,719","66,668","64,808","81,095","60,874","51,579","46,031","27,535","11,947","604,796",WHSA
7543,1994,"27,415","32,099","61,576","68,691","62,861","58,325","67,971","58,539","47,248","42,969","27,195","28,172","583,061",WHSA
7544,1993,"23,954","29,478","63,212","72,728","66,640","61,330","71,691","63,335","55,515","45,484","29,135","28,750","611,252",WHSA
7545,1992,"20,892","31,193","56,973","63,375","64,542","66,746","71,140","65,930","51,613","43,409","29,458","25,100","590,371",WHSA
7546,1991,"22,396","30,479","71,305","60,159","60,668","62,496","73,205","66,596","44,822","43,694","27,839","24,884","588,543",WHSA
7547,1990,"25,136","32,875","73,318","72,984","63,291","58,062","66,063","59,341","40,238","35,843","30,975","24,361","582,487",WHSA
7548,1989,"26,926","32,405","80,420","58,937","53,536","59,808","63,142","57,827","41,244","40,348","30,395","23,542","568,530",WHSA
7549,1988,"21,387","30,617","63,438","64,654","60,267","54,394","72,232","55,789","38,802","40,637","28,879","25,089","556,185",WHSA
7550,1987,"27,417","30,748","59,245","61,225","63,754","59,445","69,976","68,591","40,551","37,742","30,606","18,313","567,613",WHSA
7551,1986,"31,078","32,953","112,288","65,302","70,668","69,637","80,100","73,622","36,339","34,756","34,670","25,466","666,879",WHSA
7552,1985,"17,635","37,307","41,103","61,477","47,121","46,055","56,402","54,641","34,248","35,323","28,029","27,413","486,754",WHSA
7553,1984,"25,364","30,657","51,243","72,731","60,907","59,649","66,687","45,122","37,304","39,553","28,091","25,622","542,930",WHSA
7554,1983,"15,977","27,038","48,850","37,271","48,122","45,011","78,185","58,173","38,840","42,348","30,237","22,850","492,902",WHSA
7555,1982,"25,136","30,218","54,783","53,841","67,151","60,601","71,115","60,620","38,917","41,731","22,705","16,763","543,581",WHSA
7556,1981,"21,937","34,622","44,292","61,501","52,858","58,637","74,299","71,835","43,619","36,729","27,418","28,747","556,494",WHSA
7557,1980,"18,401","26,452","47,743","63,511","54,968","59,736","67,672","69,019","27,698","24,762","23,154","28,360","511,476",WHSA
7558,1979,"14,973","31,467","96,099","87,325","51,900","63,229","69,269","64,752","30,197","26,393","24,037","21,173","580,814",WHSA
7559,2023,"1,651","3,524","3,750","3,525","4,363","4,486","3,675","2,529","2,643","3,245","4,040","3,386","40,817",AFBG
7560,2022,458,"1,163","1,667","2,625","2,213","3,253","3,073","2,530","3,134","3,173","3,871","2,583","29,743",AFBG
7561,2021,198,35,331,530,479,"1,487","1,082",893,637,"1,669","1,033",793,"9,167",AFBG
7562,2020,"4,279","1,994",627,0,0,0,0,0,0,446,446,116,"7,908",AFBG
7563,2019,96,"1,571","1,395","5,022","5,482","4,621","5,520","4,332","4,384","8,667","2,058","4,279","47,427",AFBG
7564,2018,"1,172","2,067","1,569","2,781","6,335","6,432","6,146","4,031","3,527","8,190","1,856",929,"45,035",AFBG
7565,2017,"1,241","2,830","1,841","2,507","5,329","3,750","6,333","3,467","3,621","8,035","2,058","2,170","43,182",AFBG
7566,2016,885,"2,146","3,817","4,763","5,329","5,345","6,516","6,516","1,623","5,383","1,944","2,259","46,526",AFBG
7567,2015,773,"1,829","1,529","6,121","7,348","6,603","9,079","7,111","6,042","6,516","1,998","1,399","56,348",AFBG
7568,2014,941,"1,662","1,901","8,446","8,612","6,858","8,187","5,522","3,657","5,495","1,780","1,800","54,861",AFBG
7569,2013,"4,680","4,533","5,806","7,917","12,068","12,533","11,970","11,597","8,622","5,561","5,074","2,873","93,234",AFBG
7570,2012,"5,948","6,812","9,197","8,900","9,836","8,643","8,233","2,749","1,673","7,761","3,046","4,826","77,624",AFBG
7571,2011,"2,069","7,523","6,994","8,554","9,153","11,596","11,250","9,722","8,583","13,736","10,735","8,670","108,585",AFBG
7572,2010,"3,142","4,223","10,091","13,529","13,827","10,200","12,486","13,424","10,480","13,016","7,926","4,769","117,113",AFBG
7573,2023,"192,800","180,991","270,502","354,839","355,059","386,765","511,737","469,320","301,082","348,183","260,016","98,111","3,729,405",CACL
7574,2022,"101,419","117,759","210,492","312,360","366,200","366,200","459,099","417,645","288,319","319,653","236,759","275,756","3,471,661",CACL
7575,2021,"29,876","16,877","49,985","70,069","108,114","170,236","271,610","207,365","151,463","165,363","181,510","243,192","1,665,660",CACL
7576,2020,"187,828","191,971","90,681",0,0,0,"5,464","22,235","34,619","34,989","29,150","36,856","633,793",CACL
7577,2019,"181,143","193,675","269,440","412,122","413,828","468,687","558,814","550,729","372,332","375,893","271,108","293,263","4,361,034",CACL
7578,2018,"164,599","198,755","306,439","375,067","453,178","522,350","611,671","555,671","381,947","380,319","283,039","300,529","4,533,564",CACL
7579,2017,"198,754","201,269","285,141","439,368","528,270","528,315","614,489","565,523","382,943","376,272","296,376","320,393","4,737,113",CACL
7580,2016,"167,938","178,651","364,754","378,426","448,491","523,744","642,442","615,974","410,036","422,267","323,936","336,271","4,812,930",CACL
7581,2015,"160,542","138,134","276,799","404,731","469,295","508,696","626,495","620,829","404,272","394,375","281,108","311,753","4,597,029",CACL
7582,2014,"152,656","141,069","271,816","415,665","598,887","532,269","635,236","640,871","381,321","386,903","270,474","299,943","4,727,110",CACL
7583,2013,0,0,0,0,0,0,"463,710","528,191","340,678","273,886","279,116","295,113","2,180,694",CACL
7584,2012,"152,069","179,290","279,625","358,521","378,475","468,848","561,793","527,728","358,090",0,0,0,"3,264,439",CACL
7585,2011,"152,069","145,460","260,520","340,611","372,561","472,134","572,688","472,105","351,840","325,268","250,483","269,627","3,985,366",CACL
7586,2010,"174,890","138,100","263,383","364,398","386,564","454,943","530,473","602,045","374,487","330,415","271,099","235,581","4,126,378",CACL
7587,2009,"146,412","159,724","234,684","361,443","371,572","426,247","538,713","526,339","394,239","368,312","285,297","267,170","4,080,152",CACL
7588,2008,"149,172","152,333","269,912","279,442","341,254","438,729","493,820","489,784","331,176","327,393","227,916","226,099","3,727,030",CACL
7589,2007,"140,829","144,026","241,165","292,830","329,569","394,926","466,036","436,856","320,890","289,493","233,625","219,223","3,509,468",CACL
7590,2006,"143,009","138,737","238,885","314,324","304,783","375,505","467,222","403,800","274,519","271,946","234,609","248,058","3,415,397",CACL
7591,2005,"102,680","146,635","268,404","314,299","336,650","388,005","469,630","427,598","304,532","274,204","235,179","219,491","3,487,307",CACL
7592,2004,"97,821","119,358","119,358","207,249","306,843","354,062","437,436","427,090","282,742","301,542","120,826","174,904","2,949,231",CACL
7593,2003,"104,670","82,761","173,123","229,444","249,334","314,614","434,684","417,350","232,949","276,569","223,476","202,276","2,941,250",CACL
7594,2002,"82,529","111,682","215,222","252,818","263,755","306,550","413,262","379,668","248,047","266,523","222,426","214,313","2,976,795",CACL
7595,2001,"160,320","171,040","282,634","453,353","440,491","494,187","657,178","609,469","174,741","4,941","54,449","98,832","3,601,635",CACL
7596,2000,"158,670","175,496","318,348","449,421","435,108","495,522","601,361","586,493","397,419","406,952","305,528","257,955","4,588,273",CACL
7597,1999,"140,116","162,708","280,598","427,389","421,767","470,228","600,634","577,251","360,327","395,685","347,552","283,237","4,467,492",CACL
7598,1998,"164,151","164,506","258,328","397,689","421,991","433,645","581,106","583,267","376,861","407,889","307,753","293,082","4,390,268",CACL
7599,1997,"129,170","148,668","272,358","347,932","398,664","453,606","572,350","541,791","351,084","374,781","258,581","260,028","4,109,013",CACL
7600,1996,"53,984","110,656","227,939","358,312","335,701","442,119","497,195","538,665","344,827","334,085","268,206","242,255","3,753,944",CACL
7601,1995,"119,481","100,120","209,031","350,995","344,475","392,613","536,812","554,893","420,732","322,181","199,193","122,094","3,672,620",CACL
7602,1994,"78,183","81,870","185,936","280,517","270,898","478,335","486,493","483,492","329,948","328,521","241,015","236,119","3,481,327",CACL
7603,1993,"130,187","87,801","142,009","290,989","343,208","364,795","458,690","476,947","334,383","284,895","229,762","175,571","3,319,237",CACL
7604,1992,"108,755","110,692","174,756","277,881","324,763","362,351","480,747","500,819","301,320","287,045","202,644","156,359","3,288,132",CACL
7605,1991,"99,185","90,795","180,767","282,030","368,261","390,029","471,892","471,837","297,778","287,640","217,846","186,083","3,344,143",CACL
7606,1990,"119,130","99,998","189,544","291,213","295,709","371,870","442,916","454,820","357,822","344,116","240,857","173,600","3,381,595",CACL
7607,1989,"113,644","105,225","233,664","262,418","310,899","409,481","494,582","497,040","290,454","256,516","184,352","127,701","3,285,976",CACL
7608,1988,"73,929","76,706","138,322","242,342","272,528","344,646","419,237","423,601","251,897","253,823","191,480","154,703","2,843,214",CACL
7609,1987,"83,687","92,593","175,843","251,907","282,682","365,410","430,089","433,640","229,829","253,583","249,684","191,901","3,040,848",CACL
7610,1986,246,200,150,100,150,150,"684,200","485,915","303,221","327,629","232,767","178,827","2,213,555",CACL
7611,1985,220,234,390,"12,820","15,013","19,380","23,140","20,732","15,056","11,772","9,039",216,"128,012",CACL
7612,1984,0,0,"3,298","7,866","9,185","11,405","17,798","12,893","10,791","6,239","4,730","1,268","85,473",CACL
